ActorID,Emotion,Path,arousal,valence,dominance
13,Surprise,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-04-02-03-03-13.wav,0.1139515,0.20765357,0.23226023
13,Sad,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-03-02-03-01-13.wav,0.25931212,0.3379489,0.31755835
13,Angry,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-01-01-01-01-13.wav,0.19261287,0.31540224,0.36683118
13,Sad,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-03-02-02-01-13.wav,0.059102684,0.17410049,0.19807246
13,Angry,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-01-01-01-03-13.wav,0.020516418,0.19121683,0.1711595
13,Angry,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-01-01-01-02-13.wav,0.089865156,0.23897153,0.23044077
13,Surprise,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-04-02-01-02-13.wav,0.16255215,0.24101403,0.25275257
13,Happy,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-02-01-02-02-13.wav,0.031560127,0.14873096,0.24710783
13,Sad,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-03-02-03-03-13.wav,0.31058735,0.38020405,0.2785236
13,Sad,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-03-02-02-02-13.wav,0.12795325,0.25200593,0.24101953
13,Angry,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-01-01-03-03-13.wav,0.08757792,0.17723651,0.1863252
13,Sad,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-03-02-02-03-13.wav,0.07952416,0.20440218,0.25797477
13,Happy,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-02-01-02-01-13.wav,-0.009271743,0.115884274,0.1966128
13,Sad,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-03-02-01-02-13.wav,0.25722975,0.36422044,0.2725581
13,Happy,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-02-01-01-01-13.wav,0.008345265,0.09903694,0.15481117
13,Sad,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-03-02-01-01-13.wav,0.24424842,0.3596905,0.27510974
13,Angry,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-01-01-02-03-13.wav,0.041295175,0.16465682,0.27192014
13,Angry,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-01-01-03-02-13.wav,0.12488716,0.23585081,0.2750821
13,Surprise,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-04-02-01-01-13.wav,0.15595423,0.29341948,0.26386192
13,Surprise,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-04-02-02-01-13.wav,0.40979004,0.45181954,0.49915823
13,Surprise,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-04-02-03-01-13.wav,0.1849677,0.2840414,0.23936433
13,Happy,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-02-01-03-01-13.wav,0.059246287,0.15170807,0.19391993
13,Angry,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-01-01-03-01-13.wav,0.109333776,0.2023086,0.2755205
13,Happy,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-02-01-01-02-13.wav,-0.034584966,0.065389164,0.12375972
13,Sad,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-03-02-03-02-13.wav,0.2613355,0.35886604,0.2722625
