,Unnamed: 0,ActorID,Emotion,Path,arousal,valence,dominance,Gender,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,path,emotion_label
0,36,10,Happy,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 10/03-01-02-01-01-03-10.wav,-0.08174133,0.06896333,0.20411234,Female,37.26716,0.29625046,31.968332,36.63262,46.632935,14.664602,382.09802,301.03836,387.14102,246.72917,0.23663452,1.1323057,0.021787051,0.16092032,0.38222432,0.36043727,5.2934065,2.367887,7.3651924,5.0765,0.17666453,1.4787475,22.186155,0.9496573,10.985795,1.9019797,3.7408102,7.429191,-13.712578,-1.3774332,0.056631483,1.5493593,2.1657348,0.7001628,4.721173,1.3960466,9.072531,2.3423545,20.104393,1.0201923,716.40234,0.32701734,1150.2278,0.23330921,-106.788345,-0.8527065,1778.4115,0.1514863,886.13513,0.52560794,-103.37194,-0.7970144,2795.2336,0.08715374,780.33405,0.48241794,-103.90542,-0.78718853,-16.259962,-0.66979855,23.784634,0.58150345,0.13060784,0.26862723,-0.023820711,-0.5639271,0.30227017,0.9805386,26.028034,0.902739,9.340811,2.3381124,1.9809067,17.311157,-17.07558,-1.008468,-13.947303,19.921366,0.085656345,-0.011613939,0.023796082,3.211009,3.286385,0.16428572,0.128936,0.19749999,0.1357157,-36.57667,/content/BanglaSER/Actor 10/03-01-02-01-01-03-10.wav,3
1,37,10,Angry,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 10/03-01-01-01-01-03-10.wav,0.0339195,0.13849193,0.18795535,Female,45.826424,0.049074106,43.794167,45.345615,47.54544,3.751274,27.840847,17.406273,9.508383,4.2731357,0.60324866,1.0172526,0.034969255,0.50852674,1.0564663,1.0214971,10.585017,8.370076,12.698554,7.829945,0.5002471,1.346227,13.799424,0.5861203,5.097286,3.3894267,6.652315,2.6235445,-27.387402,-0.71595466,0.017788392,0.9947525,1.1320028,0.61392945,11.003207,0.4014771,20.050632,0.42338553,9.88276,0.91051626,758.61816,0.20974831,1042.842,0.16735922,-90.779526,-1.014221,1949.9514,0.07355775,499.87698,0.8228025,-95.16288,-0.850111,2873.166,0.058345348,646.2003,0.39347464,-90.264946,-0.9376579,-14.062965,-0.50820595,18.37731,0.49533585,0.17043944,0.15984918,-0.026161235,-0.46327195,0.80961883,0.8638248,13.694024,0.6790225,4.45447,4.8774056,-1.1180788,-15.388093,-34.30231,-0.5558606,-5.482423,9.009954,0.05255467,-0.010730611,0.00673422,2.7237356,0.4,1.5699999,0.0,0.45,0.19,-26.599642,/content/BanglaSER/Actor 10/03-01-01-01-01-03-10.wav,0
2,39,10,Happy,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 10/03-01-02-01-03-02-10.wav,0.024903748,0.14399627,0.26490423,Female,35.81241,0.21152282,32.467175,38.704548,41.518955,9.051781,182.77335,126.97587,63.55717,38.513756,0.30859712,1.3186959,0.035220347,0.08572113,0.57484096,0.53962064,5.9899254,5.5057216,5.7295556,2.3567836,0.18625358,1.5215138,26.543987,0.71798563,7.328269,1.6471219,14.547698,1.5640305,-25.152916,-0.81014377,0.032715604,1.6825451,1.1445762,0.7582918,7.066248,0.8154919,11.380762,1.4504204,30.31978,0.71248186,630.15515,0.2935587,1236.4083,0.22487581,-126.03876,-0.7306555,1632.8187,0.20419686,865.6213,0.27225536,-119.04137,-0.71493983,2939.8926,0.12885037,699.1813,0.7750433,-122.01782,-0.67355454,-14.913274,-0.8226026,26.943771,0.62587744,0.101850204,0.33475652,-0.030087592,-0.67916524,0.388028,0.8066134,36.160534,0.6249549,8.892882,1.6248611,2.0674279,11.218143,-36.048748,-0.6257915,-6.746219,10.812113,0.061041135,-0.007990514,0.013578883,2.4096386,1.6460906,0.2775,0.1853881,0.24599999,0.28688675,-33.36465,/content/BanglaSER/Actor 10/03-01-02-01-03-02-10.wav,3
3,40,10,Angry,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 10/03-01-01-01-01-01-10.wav,-0.005082287,0.15255715,0.17718363,Female,42.520588,0.10084631,39.549305,41.019207,46.869404,7.320099,40.8578,11.267322,97.03768,42.382996,0.85004985,1.0517445,0.042209595,0.55588746,1.3946515,1.3524419,19.012701,13.81251,23.765047,20.910086,0.7418334,1.5521553,15.904819,0.90154207,8.861864,2.319282,12.401857,1.5286113,-20.93127,-0.62378895,0.03539344,1.7885231,0.971065,0.7611605,9.386698,0.55033326,24.699793,0.7614054,13.270996,1.2114143,677.8853,0.30337578,1002.5301,0.17216925,-89.97066,-1.0131341,1877.9683,0.12159248,631.3736,0.9597846,-85.34825,-0.9439002,2794.7007,0.10327662,778.812,0.8325822,-77.9178,-1.099466,-14.545716,-0.5222864,19.873611,0.47776857,0.12080627,0.29727814,-0.03851894,-0.3079023,1.104648,1.1551532,16.814829,0.8964257,10.0287,2.3232956,10.904893,1.8714156,-25.600847,-0.46668524,-6.0996165,10.283548,0.056290913,-0.0070252204,0.04556925,3.0434783,0.44642857,1.5,0.0,0.355,0.074999996,-23.208921,/content/BanglaSER/Actor 10/03-01-01-01-01-01-10.wav,0
4,41,10,Sad,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 10/03-01-03-02-03-02-10.wav,0.24438705,0.3145749,0.21785694,Female,40.393803,0.18209444,32.41666,42.815937,46.655598,14.238937,73.07269,7.052979,41.312954,0.0,1.263884,1.4181912,0.009548335,0.038154945,2.9032173,2.893669,31.378662,24.01667,34.830956,14.769495,1.459168,1.5216713,17.069912,0.79282564,0.5312466,37.970795,0.11139096,282.06433,-10.573847,-2.8810995,0.033671897,1.140097,1.2803202,0.8450432,6.321119,1.1855973,7.97109,1.5206813,19.421171,0.82153845,830.31934,0.2902089,1176.9373,0.2518233,-121.66796,-0.7844565,1841.9288,0.1614515,922.5197,0.42160255,-121.59501,-0.7363709,2952.99,0.104516365,677.62976,0.38675764,-122.30067,-0.7259461,-10.879011,-0.881696,20.721119,0.6200287,0.14794174,0.22739571,-0.017023584,-0.9242922,3.3760087,0.6792208,18.33078,0.7597311,-6.769841,-2.200858,-14.540069,-1.8387135,-35.468758,-0.6157789,-6.6933575,18.4358,0.06806859,0.0022578405,0.04369615,1.9455253,0.7968128,0.53999996,0.44,0.45999998,0.3429286,-18.176128,/content/BanglaSER/Actor 10/03-01-03-02-03-02-10.wav,5
5,42,10,Angry,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 10/03-01-01-01-02-02-10.wav,0.121125706,0.17542592,0.20993492,Female,42.309113,0.15055269,36.960793,41.667007,47.984764,11.023972,210.56667,169.10384,106.37907,71.786835,0.46629497,1.0372862,0.04966961,0.3526603,0.78026515,0.7305955,9.075651,4.7855306,9.235939,3.6860614,0.38658184,1.4066006,16.48642,1.3379022,12.996975,1.3004574,12.939375,1.9195627,-20.5473,-0.94740003,0.074582376,1.7758579,1.478558,0.629143,6.6522207,1.1401802,16.644712,1.2186954,18.935848,1.5147376,735.76886,0.38172618,1031.2574,0.2698801,-101.77728,-0.87178385,1880.0559,0.19056664,878.82227,0.4414281,-93.47622,-0.8689655,2998.1357,0.10062799,813.4884,0.42863902,-94.0406,-0.85236424,-10.7755165,-1.707609,22.454216,0.9699243,0.123369046,0.32365665,-0.01988528,-0.8255352,0.5177254,0.786312,16.373259,1.5758263,13.962785,1.2424788,6.265764,4.540511,-30.340807,-0.52327096,-9.440384,15.82584,0.08118254,-0.006617861,0.20798112,4.016064,2.0920503,0.294,0.33236122,0.13499999,0.13175102,-30.888706,/content/BanglaSER/Actor 10/03-01-01-01-02-02-10.wav,0
6,43,10,Sad,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 10/03-01-03-02-01-02-10.wav,0.6108834,0.6849188,0.30612373,Female,31.306364,0.3151368,21.13274,34.98614,39.451355,18.318615,163.6733,71.25554,170.7,90.4167,2.1103039,1.5114179,0.083659224,0.5384607,4.7388654,4.655206,67.07423,37.263203,80.524734,45.63549,2.9202564,1.7645202,16.494568,0.5659628,1.6952379,5.911661,12.675911,0.9194726,-16.86894,-0.6091402,0.15291542,1.2964565,1.776813,0.68882114,1.4192948,4.194774,6.212269,2.75885,13.985234,0.90285105,686.46124,0.32233462,1181.4982,0.22769643,-120.037445,-0.75445354,1828.885,0.13112898,836.08203,0.42981702,-115.501785,-0.76066196,2831.7349,0.10220218,841.9935,0.49399465,-115.39381,-0.7620989,-10.128136,-0.71475756,16.548851,0.52406186,0.022398336,1.5974543,-0.021361986,-0.5318475,5.7471204,1.0858994,18.48029,0.5214561,0.063074455,167.56218,12.328168,1.1414487,-17.423113,-0.6089781,-7.6428285,13.008261,0.03800643,-0.012767194,0.41688824,1.891892,2.2038567,0.2075,0.24319488,0.19999999,0.21385352,-10.308241,/content/BanglaSER/Actor 10/03-01-03-02-01-02-10.wav,5
7,45,10,Angry,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 10/03-01-01-01-03-02-10.wav,0.26377434,0.34526482,0.28268617,Female,37.600758,0.26067764,26.523815,41.56456,46.007576,19.48376,110.0307,82.82307,487.21695,418.64905,1.2745528,1.0289327,0.09260031,0.3973025,2.6289804,2.53638,34.675533,20.461199,30.41981,17.467188,1.661434,1.3278123,16.2058,0.57386994,1.5683799,8.0874605,11.148012,1.4718829,-20.509638,-0.43299654,0.049629416,1.995259,1.5416459,0.5496418,5.3139653,1.3588964,7.5251994,1.1490473,16.316063,0.6704363,793.7747,0.3088709,1190.9272,0.24313077,-109.002975,-0.83961195,1857.6771,0.124202,873.4538,0.48220915,-109.72735,-0.7731785,2927.0447,0.093715236,857.4291,0.8383063,-109.95863,-0.77188396,-13.515226,-0.61555624,22.300915,0.5226984,0.0866065,0.57659096,-0.019102797,-0.6297192,2.9505682,0.76516384,19.184763,0.5102572,4.2542996,3.007304,4.691424,4.0455694,-21.393887,-0.3746085,-4.5264835,8.280485,0.051319942,-0.01118984,0.3219247,3.3707867,2.2922635,0.2175,0.30918238,0.19624999,0.3150372,-16.741034,/content/BanglaSER/Actor 10/03-01-01-01-03-02-10.wav,0
8,49,10,Angry,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 10/03-01-01-01-03-03-10.wav,0.20562565,0.2649902,0.2632876,Female,36.598293,0.28324518,25.683346,42.084682,45.0007,19.317356,293.7164,163.9067,81.228874,74.51596,1.4163142,0.9215788,0.34613854,0.43363366,2.99165,2.6455116,30.63177,24.592003,23.543009,10.341002,1.4013779,1.253202,17.049913,0.6415387,0.4053828,25.188782,7.194417,2.320657,-18.784468,-0.7252139,0.033217393,1.8703959,0.9929612,0.7464165,6.427408,1.2641785,9.809688,1.8632083,13.623187,1.0874892,800.6509,0.29606545,1087.6256,0.21918666,-73.76594,-1.0728986,1851.0317,0.15322562,895.1679,0.514984,-77.24739,-0.9515596,2931.963,0.09719185,648.95435,0.46166715,-79.46212,-0.9055495,-13.051221,-0.61156225,21.876167,0.50150484,0.0707093,0.8932453,-0.016644955,-0.7795632,1.8337792,1.0025793,19.589523,0.5345151,0.53197944,19.347279,4.04379,4.52402,-22.039217,-0.5786072,-4.932842,10.752769,0.005612417,-0.0106632095,0.45369133,2.5069637,3.7037036,0.18153846,0.189852,0.07727272,0.05223912,-16.086937,/content/BanglaSER/Actor 10/03-01-01-01-03-03-10.wav,0
9,50,10,Sad,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 10/03-01-03-02-01-01-10.wav,0.18316697,0.2559604,0.22267261,Female,37.1586,0.122780144,34.6011,38.73447,40.316986,5.715885,6.873258,39.314713,770.31537,747.89746,0.9110831,1.4601951,0.0050031925,0.010840998,1.9439828,1.9389796,33.536777,24.151262,35.358887,23.18895,0.93414986,1.6743268,9.001232,1.5360078,13.721749,1.2555358,6.4750447,2.2127776,-1.0472392,-19.446365,0.039872445,1.077411,1.5403349,0.6129225,3.8119676,1.4169403,10.097728,1.0300664,16.48282,0.5116175,706.7038,0.32556057,1321.5907,0.26757386,-146.45564,-0.5818171,1765.3966,0.13859707,913.54376,0.49191958,-135.62259,-0.63650155,2812.4795,0.10736065,942.46735,0.4741975,-135.77681,-0.63392323,-8.479323,-0.8097136,17.144932,0.5383237,0.1083809,0.277726,-0.019464614,-0.87932926,2.485354,0.708381,15.053482,1.0471992,2.3858564,8.39868,-0.33251837,-59.07318,-15.737793,-1.0207599,-6.40618,14.134066,0.08717962,0.0021173817,0.11909413,2.1818182,1.4814814,0.22749999,0.26261902,0.42249998,0.37191227,-21.031631,/content/BanglaSER/Actor 10/03-01-03-02-01-01-10.wav,5
