ActorID,sentence,emotion,intensity,path
1037,ITS,angry,XX,AudioWAV/1037_ITS_ANG_XX.wav
1060,ITS,neutral,XX,AudioWAV/1060_ITS_NEU_XX.wav
1075,ITS,neutral,XX,AudioWAV/1075_ITS_NEU_XX.wav
1066,IOM,disgust,XX,AudioWAV/1066_IOM_DIS_XX.wav
1078,IWL,sad,XX,AudioWAV/1078_IWL_SAD_XX.wav
1029,TAI,fear,XX,AudioWAV/1029_TAI_FEA_XX.wav
1039,IEO,sad,MD,AudioWAV/1039_IEO_SAD_MD.wav
1008,TAI,happy,XX,AudioWAV/1008_TAI_HAP_XX.wav
1039,TSI,happy,XX,AudioWAV/1039_TSI_HAP_XX.wav
1071,ITS,happy,XX,AudioWAV/1071_ITS_HAP_XX.wav
1045,ITS,fear,XX,AudioWAV/1045_ITS_FEA_XX.wav
1059,IEO,angry,MD,AudioWAV/1059_IEO_ANG_MD.wav
1054,MTI,disgust,XX,AudioWAV/1054_MTI_DIS_XX.wav
1048,IEO,angry,HI,AudioWAV/1048_IEO_ANG_HI.wav
1042,ITS,sad,XX,AudioWAV/1042_ITS_SAD_XX.wav
1019,TAI,neutral,XX,AudioWAV/1019_TAI_NEU_XX.wav
1087,IOM,angry,XX,AudioWAV/1087_IOM_ANG_XX.wav
1039,IEO,happy,LO,AudioWAV/1039_IEO_HAP_LO.wav
1079,DFA,neutral,XX,AudioWAV/1079_DFA_NEU_XX.wav
1063,IWW,disgust,XX,AudioWAV/1063_IWW_DIS_XX.wav
1068,WSI,happy,XX,AudioWAV/1068_WSI_HAP_XX.wav
1059,ITH,disgust,XX,AudioWAV/1059_ITH_DIS_XX.wav
1068,DFA,happy,XX,AudioWAV/1068_DFA_HAP_XX.wav
1079,WSI,neutral,XX,AudioWAV/1079_WSI_NEU_XX.wav
1082,IWW,angry,XX,AudioWAV/1082_IWW_ANG_XX.wav
1074,ITH,neutral,XX,AudioWAV/1074_ITH_NEU_XX.wav
1023,ITH,angry,XX,AudioWAV/1023_ITH_ANG_XX.wav
1005,IEO,disgust,LO,AudioWAV/1005_IEO_DIS_LO.wav
1084,IEO,sad,LO,AudioWAV/1084_IEO_SAD_LO.wav
1091,IEO,sad,LO,AudioWAV/1091_IEO_SAD_LO.wav
1063,TIE,happy,XX,AudioWAV/1063_TIE_HAP_XX.wav
1042,TIE,fear,XX,AudioWAV/1042_TIE_FEA_XX.wav
1079,IWW,sad,XX,AudioWAV/1079_IWW_SAD_XX.wav
1054,WSI,disgust,XX,AudioWAV/1054_WSI_DIS_XX.wav
1045,TIE,sad,XX,AudioWAV/1045_TIE_SAD_XX.wav
1083,IEO,fear,LO,AudioWAV/1083_IEO_FEA_LO.wav
1019,IWW,angry,XX,AudioWAV/1019_IWW_ANG_XX.wav
1065,ITH,happy,XX,AudioWAV/1065_ITH_HAP_XX.wav
1054,DFA,disgust,XX,AudioWAV/1054_DFA_DIS_XX.wav
1070,ITH,happy,XX,AudioWAV/1070_ITH_HAP_XX.wav
1072,TIE,neutral,XX,AudioWAV/1072_TIE_NEU_XX.wav
1030,TIE,angry,XX,AudioWAV/1030_TIE_ANG_XX.wav
1025,TIE,angry,XX,AudioWAV/1025_TIE_ANG_XX.wav
1043,ITH,sad,XX,AudioWAV/1043_ITH_SAD_XX.wav
1056,ITH,sad,XX,AudioWAV/1056_ITH_SAD_XX.wav
1045,IEO,neutral,XX,AudioWAV/1045_IEO_NEU_XX.wav
1079,MTI,neutral,XX,AudioWAV/1079_MTI_NEU_XX.wav
1027,IEO,disgust,HI,AudioWAV/1027_IEO_DIS_HI.wav
1032,IEO,disgust,HI,AudioWAV/1032_IEO_DIS_HI.wav
1062,IWL,disgust,XX,AudioWAV/1062_IWL_DIS_XX.wav
1077,IWL,disgust,XX,AudioWAV/1077_IWL_DIS_XX.wav
1083,TSI,fear,XX,AudioWAV/1083_TSI_FEA_XX.wav
1023,IEO,disgust,MD,AudioWAV/1023_IEO_DIS_MD.wav
1005,TSI,disgust,XX,AudioWAV/1005_TSI_DIS_XX.wav
1091,IEO,happy,MD,AudioWAV/1091_IEO_HAP_MD.wav
1084,IEO,happy,MD,AudioWAV/1084_IEO_HAP_MD.wav
1034,TAI,disgust,XX,AudioWAV/1034_TAI_DIS_XX.wav
1084,TSI,sad,XX,AudioWAV/1084_TSI_SAD_XX.wav
1080,IEO,happy,HI,AudioWAV/1080_IEO_HAP_HI.wav
1069,IOM,sad,XX,AudioWAV/1069_IOM_SAD_XX.wav
1091,TSI,sad,XX,AudioWAV/1091_TSI_SAD_XX.wav
1082,TAI,neutral,XX,AudioWAV/1082_TAI_NEU_XX.wav
1068,MTI,happy,XX,AudioWAV/1068_MTI_HAP_XX.wav
1009,IOM,angry,XX,AudioWAV/1009_IOM_ANG_XX.wav
1058,ITS,disgust,XX,AudioWAV/1058_ITS_DIS_XX.wav
1083,IWL,angry,XX,AudioWAV/1083_IWL_ANG_XX.wav
1079,TAI,happy,XX,AudioWAV/1079_TAI_HAP_XX.wav
1048,IEO,sad,MD,AudioWAV/1048_IEO_SAD_MD.wav
1009,IWL,sad,XX,AudioWAV/1009_IWL_SAD_XX.wav
1058,TAI,fear,XX,AudioWAV/1058_TAI_FEA_XX.wav
1088,IWL,disgust,XX,AudioWAV/1088_IWL_DIS_XX.wav
1048,TSI,happy,XX,AudioWAV/1048_TSI_HAP_XX.wav
1059,IEO,sad,HI,AudioWAV/1059_IEO_SAD_HI.wav
1069,TSI,fear,XX,AudioWAV/1069_TSI_FEA_XX.wav
1091,IOM,fear,XX,AudioWAV/1091_IOM_FEA_XX.wav
1084,IOM,fear,XX,AudioWAV/1084_IOM_FEA_XX.wav
1046,ITS,angry,XX,AudioWAV/1046_ITS_ANG_XX.wav
1017,IOM,disgust,XX,AudioWAV/1017_IOM_DIS_XX.wav
1083,IOM,sad,XX,AudioWAV/1083_IOM_SAD_XX.wav
1082,MTI,happy,XX,AudioWAV/1082_MTI_HAP_XX.wav
1068,TAI,neutral,XX,AudioWAV/1068_TAI_NEU_XX.wav
1059,TSI,neutral,XX,AudioWAV/1059_TSI_NEU_XX.wav
1034,ITS,fear,XX,AudioWAV/1034_ITS_FEA_XX.wav
1015,ITS,happy,XX,AudioWAV/1015_ITS_HAP_XX.wav
1069,IWL,angry,XX,AudioWAV/1069_IWL_ANG_XX.wav
1039,IEO,angry,HI,AudioWAV/1039_IEO_ANG_HI.wav
1030,MTI,disgust,XX,AudioWAV/1030_MTI_DIS_XX.wav
1025,MTI,disgust,XX,AudioWAV/1025_MTI_DIS_XX.wav
1081,IWW,fear,XX,AudioWAV/1081_IWW_FEA_XX.wav
1019,WSI,happy,XX,AudioWAV/1019_WSI_HAP_XX.wav
1089,TIE,happy,XX,AudioWAV/1089_TIE_HAP_XX.wav
1069,IEO,fear,LO,AudioWAV/1069_IEO_FEA_LO.wav
1048,IEO,happy,LO,AudioWAV/1048_IEO_HAP_LO.wav
1007,IWW,disgust,XX,AudioWAV/1007_IWW_DIS_XX.wav
1012,IWW,disgust,XX,AudioWAV/1012_IWW_DIS_XX.wav
1008,DFA,neutral,XX,AudioWAV/1008_DFA_NEU_XX.wav
1019,DFA,happy,XX,AudioWAV/1019_DFA_HAP_XX.wav
1008,IWW,sad,XX,AudioWAV/1008_IWW_SAD_XX.wav
1025,WSI,disgust,XX,AudioWAV/1025_WSI_DIS_XX.wav
1034,TIE,sad,XX,AudioWAV/1034_TIE_SAD_XX.wav
1030,WSI,disgust,XX,AudioWAV/1030_WSI_DIS_XX.wav
1089,IWW,disgust,XX,AudioWAV/1089_IWW_DIS_XX.wav
1082,WSI,happy,XX,AudioWAV/1082_WSI_HAP_XX.wav
1005,ITH,neutral,XX,AudioWAV/1005_ITH_NEU_XX.wav
1074,IEO,disgust,LO,AudioWAV/1074_IEO_DIS_LO.wav
1047,ITH,angry,XX,AudioWAV/1047_ITH_ANG_XX.wav
1052,ITH,angry,XX,AudioWAV/1052_ITH_ANG_XX.wav
1012,TIE,happy,XX,AudioWAV/1012_TIE_HAP_XX.wav
1007,TIE,happy,XX,AudioWAV/1007_TIE_HAP_XX.wav
1027,ITH,sad,XX,AudioWAV/1027_ITH_SAD_XX.wav
1032,ITH,sad,XX,AudioWAV/1032_ITH_SAD_XX.wav
1034,IEO,neutral,XX,AudioWAV/1034_IEO_NEU_XX.wav
1082,DFA,happy,XX,AudioWAV/1082_DFA_HAP_XX.wav
1080,IEO,angry,LO,AudioWAV/1080_IEO_ANG_LO.wav
1068,IWW,angry,XX,AudioWAV/1068_IWW_ANG_XX.wav
1030,DFA,disgust,XX,AudioWAV/1030_DFA_DIS_XX.wav
1014,ITH,happy,XX,AudioWAV/1014_ITH_HAP_XX.wav
1025,DFA,disgust,XX,AudioWAV/1025_DFA_DIS_XX.wav
1020,ITH,fear,XX,AudioWAV/1020_ITH_FEA_XX.wav
1035,ITH,fear,XX,AudioWAV/1035_ITH_FEA_XX.wav
1016,TIE,neutral,XX,AudioWAV/1016_TIE_NEU_XX.wav
1003,TIE,neutral,XX,AudioWAV/1003_TIE_NEU_XX.wav
