Unnamed: 0,SpeakerID,Emotion,Path,Filename,Sex,Age,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,path,emotion_label
0,15,happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15a04Fd.wav,15a04Fd.wav,male,25,33.635345,0.23025149,25.775436,36.956997,40.399296,14.623859,15.40569,16.41974,88.4855,24.809393,1.1606754,0.76361454,0.29206425,0.97891486,2.0626686,1.7706044,20.46648,12.0979,23.883379,14.731691,0.6661292,0.9535754,11.104572,1.172404,-0.6581402,-25.550583,8.133416,2.6309903,1.9083809,6.7987475,0.029135248,1.5691292,1.2530097,0.78124565,5.9092865,0.6773684,9.532735,0.7174187,12.565098,0.5791542,821.6197,0.3892529,1201.0991,0.19642809,-88.62268,-0.92038965,1790.671,0.18304531,1028.1653,0.30786484,-73.32942,-1.0838766,2794.4666,0.1236249,990.55634,0.3676688,-75.08943,-1.040171,-7.3051295,-1.2244318,15.28279,0.53369474,0.015622893,2.1641812,0.00077915547,14.107695,0.6815392,0.775311,12.327032,1.0580924,-3.5690582,-4.810011,6.4524183,3.633994,0.24744648,58.107246,-9.409323,19.10727,-0.0016992909,0.0071315886,0.70692235,4.494382,4.0462427,0.16,0.1971946,0.057499997,0.03269174,-18.386091,/content/emodb_wav//15a04Fd.wav,3
2,9,anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09b01Wb.wav,09b01Wb.wav,female,21,40.538235,0.09818498,38.587936,40.60875,43.595703,5.0077667,74.77809,58.148083,19.76648,17.305984,1.0815685,0.74785256,0.35780114,0.9440937,1.7734158,1.4156146,25.85439,12.694018,25.396875,12.815507,0.6286051,0.8769927,9.307107,1.8478777,-6.226371,-2.8849862,13.823685,1.0785493,-20.040361,-1.110299,0.028370297,1.0832218,1.3899194,0.86937636,7.8085427,0.46987048,11.775184,0.92775154,12.750423,0.78902626,748.6386,0.35853112,1386.8434,0.26420766,-87.943184,-0.9597955,1790.275,0.115555935,957.76196,0.36437646,-72.7036,-1.0578353,2767.9473,0.10146655,1086.5853,0.3541308,-72.24956,-1.0710028,-7.813135,-1.1396718,14.302093,0.63985956,0.0614975,0.4617711,-0.012999487,-1.1335812,0.73905295,0.7843985,12.083408,1.0440184,-10.808127,-1.5955418,15.38762,1.0351471,-28.022602,-0.69331485,-6.0101395,15.396631,0.027197992,0.005506795,0.42739537,5.607477,4.30622,0.15222222,0.08941511,0.06375,0.02496873,-19.18802,/content/emodb_wav//09b01Wb.wav,0
3,15,anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15a01Wa.wav,15a01Wa.wav,male,25,38.67807,0.115872175,34.52394,39.877567,41.158375,6.6344337,4.4301896,30.385807,247.16473,45.887054,1.1184888,0.9915349,0.1297677,0.7968821,1.9168476,1.7870799,18.619932,14.365711,23.340551,12.490423,0.60037565,1.2437739,3.034796,4.8376546,-9.104022,-2.05712,0.4391408,41.175804,-9.216881,-1.7726133,0.032745678,1.3547133,1.5409845,0.7059243,4.346671,0.84151465,1.3176867,6.9051013,6.1925144,1.5670087,819.9459,0.4056232,1176.2882,0.19841197,-83.32363,-1.1614815,1837.1552,0.15843955,955.5567,0.25012782,-69.99571,-1.2783235,2789.8315,0.10176406,895.5543,0.28028417,-70.7812,-1.2514002,-1.145824,-5.837823,10.132297,0.5116747,0.05869201,0.48871198,0.00277689,6.816464,0.8404527,0.97293574,4.5629916,2.1978252,-16.900812,-0.98510516,-6.3556247,-2.807483,-14.480706,-1.2156316,-1.6279099,10.924042,0.021671217,0.01647177,0.18751527,3.2967033,2.824859,0.22399999,0.15460917,0.106,0.063435,-18.870499,/content/emodb_wav//15a01Wa.wav,0
4,14,anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14a05Wa.wav,14a05Wa.wav,female,35,40.611958,0.1479443,36.786343,41.586903,44.14754,7.3611984,244.03133,170.80133,118.14542,96.42731,1.0989491,0.86937726,0.20471472,0.8173568,1.8850851,1.6803703,21.015772,10.875187,23.154022,10.871204,0.6498751,1.0394785,5.873304,3.1546364,-3.4491842,-4.95923,4.218577,4.3266406,-19.244282,-1.358164,0.03065897,1.2601981,1.1898483,0.8731659,6.123324,0.7714763,2.7452264,3.5874455,11.314006,0.98918635,811.6192,0.33540165,1271.9215,0.24591856,-89.54059,-0.9799686,1790.8594,0.15465786,1071.667,0.4286972,-77.65183,-1.065187,2835.1624,0.09534561,918.83905,0.33293006,-78.73811,-1.0333252,-6.0541334,-1.9043068,16.508192,0.7446119,0.047768272,0.6924052,-0.0026266815,-6.6268964,0.85650605,0.8348857,9.035842,1.8887596,-8.202569,-2.1604328,3.7725878,5.5881944,-29.301119,-0.8595941,-4.5885053,14.624594,-0.0012182764,0.014095002,0.27935845,5.0125313,4.060914,0.15187499,0.14200434,0.07733333,0.033757303,-18.152895,/content/emodb_wav//14a05Wa.wav,0
5,3,anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/03a05Aa.wav,03a05Aa.wav,male,31,37.420864,0.073195696,35.041664,37.18915,39.627834,4.58617,130.32484,108.44872,24.778751,21.970465,1.0028777,0.6517583,0.44499043,0.88852507,1.6138763,1.168886,17.78715,8.805979,20.260437,9.89874,0.59409076,0.86640966,9.36335,1.9576032,5.595794,1.865969,9.637754,1.6986885,-6.417345,-2.490026,0.048534725,2.0674284,1.386032,0.78323036,7.9703364,0.40528268,10.839639,0.9796229,17.607836,0.4761261,688.766,0.36678258,1196.2539,0.19082217,-115.9194,-0.72217035,1780.4071,0.17001666,927.2668,0.42722362,-103.52088,-0.78154737,2756.415,0.10928248,943.1762,0.29159126,-104.43292,-0.7667137,-11.043019,-0.75460577,19.5785,0.46452102,0.04922316,0.58623725,-0.012103391,-1.261293,0.761218,0.7764642,15.454051,0.79660875,5.7557006,1.7292321,7.1548357,2.6823525,-11.791241,-1.5573444,-3.6542208,13.208773,0.0059239957,0.009119834,0.41709197,6.1889253,4.9668875,0.099999994,0.07321202,0.085,0.04468141,-18.996473,/content/emodb_wav//03a05Aa.wav,2
7,9,sadness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09a05Tb.wav,09a05Tb.wav,female,21,27.97654,0.12658498,28.100418,28.920198,29.835117,1.7346992,153.85092,118.57568,47.09908,39.30648,0.84545696,0.7442289,0.28989443,0.74501497,1.2074331,0.91753864,16.507391,11.333302,15.872312,10.43973,0.73631394,0.6319693,16.147245,1.0916301,11.13808,1.2246042,21.790426,0.6629183,4.161094,3.0196953,0.05526546,1.3337889,0.8550903,0.6754426,6.5528326,0.3805858,16.492937,0.5742712,31.396378,0.31467274,612.88513,0.3417238,1429.5598,0.11745937,-149.34502,-0.5231059,1740.1128,0.11999,1159.2944,0.47239482,-151.25394,-0.48017994,2818.3455,0.07198197,952.05725,0.30657706,-151.54776,-0.47604692,-21.538843,-0.36400515,30.155806,0.2954921,-0.04126057,-0.48007908,-0.01721847,-1.0691625,0.89322746,0.61407596,30.942585,0.28877115,16.935843,0.7547876,30.563078,0.49789658,3.4812407,4.7553487,-16.137432,26.20301,-0.051081054,-0.0003627865,0.6846611,4.884319,2.6041667,0.103,0.12969579,0.259,0.21337524,-17.78896,/content/emodb_wav//09a05Tb.wav,5
8,12,anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12a01Wc.wav,12a01Wc.wav,male,30,34.41213,0.103000626,31.290035,34.217766,36.587025,5.2969894,47.767612,35.979683,136.60934,94.12386,0.9086147,0.85151166,0.19578601,0.68639266,1.6136112,1.4178252,16.366411,8.622521,10.271345,4.7457237,0.4585561,1.2334114,11.3764305,1.3947313,-7.4932513,-2.5604692,10.868831,1.9484376,-7.05235,-1.9940697,0.037852585,1.245649,1.3651083,0.8828568,4.4449143,0.9236236,4.7433553,2.1803257,9.972696,1.1886411,722.20996,0.4201242,1254.4855,0.20751911,-94.18686,-1.0160991,1814.5298,0.1579122,866.2428,0.43535027,-89.03546,-1.0151991,2793.8665,0.08622671,893.96356,0.25463095,-88.613075,-1.0185846,-4.473095,-1.5866767,13.156906,0.41944328,0.056295164,0.52479166,-0.001728785,-10.612573,0.6282858,1.0602379,18.045141,0.5261624,-11.9799595,-1.734043,13.50253,1.844696,-10.936129,-1.4623086,-2.473998,13.763072,0.008928108,0.018179843,0.24818969,3.846154,2.6200874,0.21333334,0.09104334,0.12571429,0.06114553,-21.298326,/content/emodb_wav//12a01Wc.wav,0
9,12,anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12a04Wc.wav,12a04Wc.wav,male,30,36.672337,0.073905356,35.11142,36.9748,38.986965,3.8755455,112.62348,107.95718,36.30119,24.857101,1.324101,0.7416108,0.43879262,1.0565424,2.2954013,1.8566087,23.75898,13.299776,22.209515,9.09628,0.8103867,0.8764296,11.324621,1.3557556,-7.7848663,-2.794299,8.378545,2.3759298,-15.711027,-0.9054196,0.034831252,1.4154497,1.6088042,0.8293434,4.193308,0.69291294,4.5930653,1.9900501,9.448492,1.0294851,857.82806,0.30393475,1304.8556,0.28948468,-79.71542,-1.1108377,1843.7205,0.1473328,1041.0895,0.34191197,-73.17694,-1.1273359,2785.262,0.075458325,968.2842,0.45087028,-73.44758,-1.1122323,-2.6427526,-2.7840765,10.967919,0.670014,0.0556628,0.5655255,-0.0071256277,-2.4939153,1.0168267,0.7225877,11.597818,1.1014826,-13.182036,-1.6558257,6.0254354,3.520584,-18.346672,-0.82800514,-5.584158,14.32256,0.026405575,0.00094612164,0.48868337,5.769231,5.298013,0.114999995,0.079843596,0.046666663,0.023570225,-17.783638,/content/emodb_wav//12a04Wc.wav,0
11,8,neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08b02Nb.wav,08b02Nb.wav,female,34,34.002407,0.11374709,30.126307,34.006046,37.832443,7.7061367,81.17842,72.426476,40.169147,26.76933,0.79615957,0.78807694,0.2818231,0.64660954,1.2058806,0.92405754,13.518761,7.826591,15.739011,15.984995,0.50654733,0.8311413,20.872316,0.8547648,14.354898,0.9709931,7.722718,2.5699346,0.14840733,93.80474,0.02403743,0.9948912,1.1585145,0.88869375,8.517119,0.3457434,9.290867,1.0462838,28.814642,0.38932332,641.88586,0.33597216,1370.6814,0.14097321,-97.0218,-0.9032038,1715.5898,0.15656781,1030.7919,0.26313886,-100.98543,-0.79106635,2805.0752,0.096137725,963.22455,0.33689645,-104.14155,-0.7390975,-16.630497,-0.62099123,27.937382,0.42106542,0.022229105,1.3554003,-0.014993959,-1.074861,0.6487348,0.6854859,27.180346,0.48341075,13.819201,1.1892291,7.722576,2.8972178,-2.4072413,-6.1473923,-13.658193,24.224821,-0.022230508,0.0017975818,0.33358735,5.263158,3.6789298,0.14818181,0.11223499,0.101818174,0.06617033,-18.32453,/content/emodb_wav//08b02Nb.wav,4
12,12,anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12b10Wa.wav,12b10Wa.wav,male,30,40.44804,0.104127906,37.516655,39.757385,41.72753,4.2108765,101.19328,98.06148,72.716515,33.019314,1.1022054,0.7974216,0.24473724,0.9050843,1.9723334,1.7275962,15.845284,9.023147,19.064213,10.067348,0.50129193,0.9464341,8.984602,1.317691,-11.235769,-1.638444,7.7170525,2.2133913,-22.139185,-0.7621257,0.03271472,1.1724166,1.2743169,0.8296118,5.379407,0.65115905,7.723167,1.3581821,7.142342,1.3807949,873.4994,0.35917345,1099.9218,0.3065217,-71.00579,-1.2288179,1933.4758,0.1527627,873.17896,0.40213224,-59.906357,-1.3387538,2838.2644,0.07968879,914.58765,0.20190954,-56.997513,-1.4307722,-2.976299,-2.1990585,10.434301,0.6121761,0.06454811,0.41358268,-0.015514247,-1.0791616,0.6272018,0.75985557,7.200493,1.3792253,-16.29555,-1.1000092,7.7118793,2.4450316,-27.730188,-0.5215528,-9.589846,18.689335,0.012970533,0.00024434333,0.18572372,4.743083,2.419355,0.295,0.29233256,0.08285714,0.06776309,-19.94955,/content/emodb_wav//12b10Wa.wav,0
