,Emotion,Sentence,Repetition,ActorID,Gender,Path,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
0,Surprise,এ কেমন উপহার,3rd Repetition,13,Male,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-04-02-03-03-13.wav,28.801308,0.23767385,22.078192,29.800087,35.87269,13.794497,86.54518,71.74225,23.338299,21.355806,0.52047664,1.5502648,0.092633486,0.10812977,0.9680614,0.8754279,10.361225,8.47586,12.828687,7.3948264,0.37972456,1.7128592,26.984606,0.27808216,6.0122786,1.6078665,16.301922,0.8682397,0.75016695,21.862812,0.05616639,1.0150089,1.4924047,0.57120275,3.8269703,1.0192293,6.6416593,1.1548144,25.43603,0.2633755,643.5041,0.46628448,1244.6133,0.20784539,-113.07491,-0.7674799,1698.0839,0.19275838,954.33514,0.42465553,-115.372665,-0.6988338,2885.7507,0.1192474,871.6599,0.6515292,-118.21789,-0.6595354,-15.512332,-0.3470985,27.936985,0.28065825,0.051746935,0.85404915,-0.011797823,-1.0060703,0.70639163,1.1320493,30.544373,0.24047545,5.8963785,1.7984152,15.594844,1.2147751,-7.661315,-2.4698014,-13.703402,24.568344,0.013211768,-5.395079e-05,0.07368086,1.4164306,4.3227663,0.103333324,0.10805349,0.12,0.11388253,-26.69581
1,Sad,এ কেমন উপহার,1st Repetition,13,Male,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-03-02-03-01-13.wav,29.70833,0.21282019,22.949135,30.356445,36.33506,13.385925,524.47815,681.5129,77.54247,31.318008,0.86380863,1.9854754,0.016200239,0.017413767,1.454086,1.4378858,30.509457,32.85634,25.861,16.471447,1.0095545,2.1001196,27.151514,0.24765411,5.9439116,1.7357087,11.046203,1.0746529,2.791454,5.810904,0.057233576,1.0540036,1.6952735,0.6860622,3.0667264,1.4870359,6.0320754,1.738934,23.810505,0.37464955,506.42435,0.3585582,1271.8003,0.17593393,-148.95425,-0.5789405,1512.5658,0.17900555,954.2152,0.42968056,-141.61835,-0.6129161,2613.8115,0.08143621,1012.19116,0.48196673,-144.85106,-0.5660472,-10.1087265,-0.53070515,22.851694,0.30586067,0.06466888,0.5910042,-0.013631021,-0.9152062,3.2384155,0.8379465,33.287006,0.27763915,-4.460387,-2.5264156,9.910946,2.012013,-18.223993,-0.723562,-15.807217,28.15101,0.023538977,0.004622316,0.015337828,0.89020777,0.6042296,0.51,0.32,0.7466666,0.59196466,-18.034834
2,Angry,১২ টা বেজে গেছে,1st Repetition,13,Male,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-01-01-01-01-13.wav,31.38487,0.1976134,28.509445,31.196419,31.611074,3.1016293,10.250279,24.106882,756.35626,0.0,1.1048691,1.1827427,0.002512518,0.0356595,2.4325485,2.430036,31.720476,22.142673,31.232523,17.391405,0.70605695,1.3944235,10.35267,2.6074102,6.399155,2.1042688,6.4859366,3.426872,13.040546,1.6206633,0.021108175,1.7298449,1.0609243,0.9419393,7.008522,0.7104912,2.15792,2.656313,22.35663,0.40216142,546.24255,0.35855123,1141.3226,0.24121238,-108.015755,-0.8865743,1611.0726,0.1490526,719.614,0.45670962,-111.101074,-0.8084661,2649.521,0.11096768,795.0358,0.38006872,-113.87011,-0.7611806,-13.983139,-0.6016076,19.610107,0.51443684,0.058801357,0.5030772,-0.033662055,-0.47628716,1.3896356,0.6871299,33.222855,0.5963443,4.728825,3.619647,20.783075,0.7723738,0.71944046,22.414474,4.866715,-0.63234824,0.08639038,0.016340714,0.06259814,3.0534353,0.77821016,0.63,0.06,0.625,0.145,-19.42591
3,Sad,আমি জানতাম এমন কিছু হবে,1st Repetition,13,Male,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-03-02-02-01-13.wav,24.245302,0.20160316,21.443314,22.433372,28.823792,7.380478,128.50443,155.48541,55.198086,32.108418,0.83815753,1.6441855,0.13595855,0.15318832,1.2236899,1.0877314,24.932295,22.016975,28.63234,21.970812,0.7414653,2.148289,25.391682,0.44191998,2.605634,4.3014536,13.018885,0.6712333,3.1122746,3.4648979,0.061096963,1.029248,1.8736104,0.51911634,0.8556908,4.9597135,5.79891,1.4286059,22.899857,0.23964012,708.466,0.37237695,1312.699,0.17767552,-48.498596,-1.3597268,1723.3717,0.20055474,1074.0405,0.28397566,-52.68522,-1.1876874,2839.3567,0.102164336,831.9412,0.3259167,-58.474342,-1.0192602,-13.434216,-0.4792953,26.304516,0.24426699,0.0019559134,20.264887,-0.001186597,-6.063292,0.85979927,2.0200937,27.980265,0.31001696,2.0081708,5.9327855,14.383038,0.528545,3.6986568,2.9472497,-5.711557,14.414514,0.03243551,0.0009113599,0.23737219,1.388889,1.9830029,0.40857142,0.37551594,0.102,0.10740577,-21.092005
4,Angry,১২ টা বেজে গেছে,3rd Repetition,13,Male,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-01-01-01-03-13.wav,30.20522,0.09724664,28.252817,31.403254,32.30576,4.0529423,27.19576,2.2972965,-8.279164,16.798706,1.0122943,1.0496911,0.00984028,0.63128,2.0984893,2.088649,19.311817,17.826023,20.470991,8.70392,0.57412887,1.2719657,18.129892,1.0601572,17.781544,0.7643725,8.252475,2.0416932,17.159622,1.6494368,0.026186801,2.6807506,0.97930634,1.0386819,8.145902,0.56905824,2.8290296,3.930252,25.411959,0.20299898,584.24396,0.29343233,1239.0247,0.17342307,-102.725426,-0.9195694,1682.2255,0.13540803,848.48975,0.5115898,-109.23008,-0.8004526,2690.7795,0.1137394,874.18164,0.5953139,-112.28715,-0.750812,-16.75739,-0.33543608,23.02392,0.25595963,0.06079283,0.49805492,-0.03606343,-0.39486527,1.0419984,0.6528174,32.440765,0.39569613,11.880652,1.1437774,15.983485,1.0521051,-5.688636,-2.4866385,-11.513845,14.024605,-0.0164994,-0.001243801,0.09248342,2.621723,0.76335883,0.675,0.095,0.40666667,0.3162629,-20.275412
5,Angry,১২ টা বেজে গেছে,2nd Repetition,13,Male,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-01-01-01-02-13.wav,29.508131,0.10003791,27.227812,30.699326,31.752356,4.524544,50.075962,21.709215,8.027123,4.4141054,1.4283974,0.88743144,0.013107276,1.6472278,2.5628088,2.5497015,29.994034,24.832035,28.099718,12.552889,0.8538,1.080021,19.491762,1.2955234,8.745101,1.8670013,18.906162,0.87477505,6.1624613,5.154532,0.024980068,2.0979717,1.2826967,1.0080756,7.4894023,0.53463566,3.668029,3.8220677,24.393276,0.5606352,480.54135,0.29352742,1233.5669,0.27997825,-82.38017,-1.1419945,1581.3018,0.16522892,819.9479,0.40931308,-90.19207,-0.95167977,2587.2717,0.08466028,849.7171,0.5644525,-92.4811,-0.910699,-16.105612,-0.4456496,23.03362,0.47524944,0.0601117,0.6435993,-0.034961987,-0.54316854,1.2830343,0.6706158,36.199203,0.3754738,3.515469,4.860562,26.070293,0.5680841,-11.455736,-1.947531,3.2651317,-0.74337775,0.04465145,0.011817216,0.17749357,3.846154,0.990099,0.62,0.22,0.37,0.26999998,-19.003849
6,Surprise,১২ টা বেজে গেছে,2nd Repetition,13,Male,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-04-02-01-02-13.wav,33.94718,0.22833133,29.096313,32.967087,42.06269,12.966377,91.17666,67.10044,65.11309,44.20261,0.7380454,1.7009927,0.07358452,0.08210415,1.3025552,1.2289706,28.112532,19.52827,37.848236,27.582647,0.76945984,1.8806643,25.368431,0.3842127,3.6386535,3.1412828,11.532889,1.0886258,5.0420685,2.0589495,0.048761234,1.3892635,1.3669226,0.5780474,4.9334474,0.9074107,9.151684,1.439369,19.536032,0.43059078,653.3041,0.44267216,1246.0526,0.20503996,-141.78984,-0.60840416,1625.7109,0.17199522,966.259,0.33699962,-138.98077,-0.6196615,2680.4905,0.14776905,794.8081,0.36589867,-142.36655,-0.57054704,-11.885094,-0.6890956,24.599527,0.40637997,0.07618715,0.51949793,-0.006983918,-1.1138374,2.2630687,0.77001256,33.268806,0.35915712,-5.0676436,-3.1261404,8.687828,2.3099575,-1.2670307,-11.731546,-14.361084,25.86131,0.00740293,-0.0015383876,0.040244225,2.052786,0.59701496,0.55,0.29999998,0.73333335,0.4680693,-21.161211
7,Happy,আমি জানতাম এমন কিছু হবে,2nd Repetition,13,Male,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-02-01-02-02-13.wav,26.885952,0.13422032,23.274149,27.697283,29.724356,6.4502068,368.67114,549.9413,60.852203,60.814213,0.44035748,1.248732,0.08910667,0.1452977,0.73754483,0.64843816,11.328253,10.828346,10.028421,5.3172183,0.22992435,1.5178508,30.741953,0.3407415,1.2297897,9.3706665,12.630458,0.7329712,-2.6815739,-4.4085116,0.036534093,1.7132725,1.3241762,0.7047078,3.14349,1.4556856,5.377682,2.1845837,22.824142,0.31902412,511.5273,0.41564783,1300.8376,0.1532444,-111.99983,-0.80416256,1474.9369,0.19920444,982.28235,0.24703315,-111.18028,-0.7841765,2625.3591,0.08807581,835.56024,0.42245743,-115.967865,-0.70876294,-12.360267,-0.53859365,24.34857,0.27651188,0.048244774,0.614044,-0.007925347,-1.2594285,0.42356607,0.9843114,37.657986,0.23361664,-4.092163,-3.3248265,15.674934,0.69618803,-9.104838,-1.370073,-12.240273,24.43587,0.01582522,-0.0029951066,0.050824575,2.5352113,3.1518624,0.14636363,0.20388378,0.16299999,0.20957337,-32.001713
8,Sad,এ কেমন উপহার,3rd Repetition,13,Male,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-03-02-03-03-13.wav,22.59993,0.35487208,16.18568,19.326136,30.31651,14.130829,112.1068,52.890766,84.781075,48.49473,1.1059808,1.8569458,0.15690066,0.17186254,1.9514245,1.7945238,34.785423,37.019917,24.78061,16.444798,1.1296381,1.9575005,27.311647,0.30158523,4.558868,2.1221938,12.058367,1.1075301,-0.5461673,-31.204433,0.098760866,1.0542537,2.348821,0.6040875,-2.0384908,-3.1303535,1.569577,11.2272215,21.38539,0.7293663,661.23755,0.41438252,1316.695,0.15408126,-32.062717,-1.6287247,1698.3239,0.19403778,1032.0013,0.29247504,-38.89915,-1.2137865,2830.3406,0.11057639,931.9471,0.34869668,-45.310658,-0.9954939,-14.420534,-0.38183045,27.293985,0.27524704,0.001126245,36.244244,-0.0076967664,-1.558948,1.2299331,1.8851638,27.676348,0.30538127,5.495034,1.586025,11.654134,1.134464,-1.2588115,-13.869985,-5.0927033,20.483557,-0.0011448897,0.0035447485,0.36091214,0.9174312,1.5576323,0.576,0.28506842,0.06,0.052440442,-16.598974
9,Sad,আমি জানতাম এমন কিছু হবে,2nd Repetition,13,Male,/kaggle/input/beasc-dataset/t9h6p943xy-2/BEASC Dataset/Actor 13/03-01-03-02-02-02-13.wav,25.252705,0.15125486,22.119474,22.96633,28.790533,6.6710587,90.29099,126.19644,50.725525,39.55694,1.1182973,1.6316535,0.13137212,0.1471946,1.8025149,1.6711428,35.06157,33.25547,32.24625,20.52068,1.0404235,1.9112481,26.534595,0.3798845,2.5532694,4.4581623,12.583209,0.7301439,-2.2342122,-6.460399,0.041589268,0.8890386,1.7977706,0.53793967,2.0778804,1.4623623,2.7607234,1.7897373,21.105333,0.27186385,651.20404,0.38644525,1293.9092,0.16023073,-40.788567,-1.4768641,1657.0947,0.20324174,1057.1754,0.2992778,-45.99356,-1.2258451,2798.1511,0.104610115,806.58057,0.29839158,-52.636166,-1.0146054,-12.341714,-0.52020967,24.991707,0.3107877,0.016418925,2.1549888,-0.0055252393,-1.5878382,1.1912147,1.7832772,28.13839,0.32124582,1.465937,8.081716,12.877357,0.74628717,-3.0617983,-4.926298,-10.139449,19.805145,0.016662244,-0.0040935,0.24819233,2.2222223,2.542373,0.3322222,0.26258448,0.049999997,0.023452079,-18.782793
